|service_request_id|status|service_name|service_code|description|agency_responsible|requested_datetime|updated_datetime|expected_datetime|address|zipcode|latitude|longitude|requested_date|updated_date|last_table_update
0|SR21103031|NEW|"""Building, residential"""|"""BLD-RES"""|"""MOLD AND BATHROOM SMELLS LIKE SEWEGE
THESE ISSUES HAVE BEEN ONGOING FOR 3 YEARS 
PROPERTY MANAGER IS AWARE- HAS ADV TENENT TO BLEACH WALLS AND USE VINEGAR FOR TOILET ISSUES """|Cinc Building Dept|2021-12-06|2021-12-06|2022-12-06|"""2001 SUNSET LN - GJ0930433614 """|45238.0|39.1265685437892|-84.5786973793545|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM
1|SR21103214|NEW|"""Building, residential"""|"""BLD-RES"""|"""Issue existing orders to new owner."""|Cinc Building Dept|2021-12-06|2021-12-06|2022-12-06|"""3107 COLERAIN AV - GJ1272435237 """|45225.0|39.1403552038228|-84.5386507780255|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM
2|SR21103056|NEW|"""Plumbing, defective"""|"""PLMB_DEF"""|""" 2ND FL BATHRMN LEAKING INTO 1ST CAUSING MOLD"""|Cinc Health Dept|2021-12-06|2021-12-06|2022-06-04|"""843 DELEHANTY CT - GJ0782331779 """|45238.0|39.110403520287704|-84.5963707751785|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM
3|SR21103261|PEND|"""Sign, handicap parking signs"""|"""HNDCPPRK"""|"""Requesting handicap sign """|Dept of Trans and Eng|2021-12-06|2021-12-06|2022-06-04|"""4450 EASTERN AV - GJ2284032530 """|45226.0|39.113449634078705|-84.4226028085173|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM
4|SR21103248|NEW|"""Food operation, request gen"""|"""GRCRYCNC"""|"""McDonald's- Bugs in tea."""|Cinc Health Dept|2021-12-06|2021-12-06|2022-06-04|"""5341 GLENWAY AV - GJ0696433597 """|45238.0|39.1269728676522|-84.6057467788967|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM
5|SR21103222|NEW|"""Roaches - bldg or apartment"""|"""ROACHES"""|"""ROACHES """|Cinc Health Dept|2021-12-06|2021-12-06|2022-06-04|"""6092 BELMONT AV - GJ1047441896 """|45224.0|39.2008458649686|-84.562600936478|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM
6|SR21103145|OPEN|"""Unsanitary living conditions"""|"""BD_UNSAN"""|"""APT FLOODED 4 MONTHS AGO STILL HAS NOT BEEN FIXED OR CLEANED """|Cinc Health Dept|2021-12-06|2021-12-06|2022-06-04|"""5305 W KINGSWAY - GJ1725244053 """|45215.0|39.2185959781577|-84.4834801455517|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM
7|SR21103028|NEW|"""Litter, private property"""|"""LITR-PRV"""|"""trash, tires, plastic pools, and debre in the yard next to the driveway leaning on fence and blowing into neighbors yard"""|Public Services|2021-12-06|2021-12-06|2022-01-20|"""2562 MONTANA AV - GJ0906536800 """|45211.0|39.1553078774229|-84.5804679274318|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM
8|SR21103306|NEW|"""Service complaint, str clean"""|"""SRVCMPSC"""|"""Citizen states that the street sweeper did not come down and service Blackstone Pl and Bluefield Pl last month in November, and would like to bring this to the supervisor's attention."""|Public Services|2021-12-06|2021-12-06|2022-01-05|"""1849 BLACKSTONE PL - GJ1972241625 """|45237.0|39.1961169184215|-84.45569048384259|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM
9|SR21103142|PEND|"""Sign, handicap parking signs"""|"""HNDCPPRK"""|"""HANDICAP PARKING SIGN REQUEST """|Dept of Trans and Eng|2021-12-06|2021-12-06|2022-06-04|"""1016 GRAND AV - GJ1093031872 """|45204.0|39.110490413657395|-84.56044128891459|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM
10|SR21103313|NEW|"""Mold, building or apartment"""|"""MOLD"""|"""*** BE ADVISED THIS IS DAY ONE OF COVID FOR THIS CLIENT ** WANTS TO REPORT SOMETHING  GROWING ON THE FLOOR. ADV WE WILL NOT RESPONDE UNTIL QUARINTINE IS OVER.**"""|Cinc Health Dept|2021-12-06|2021-12-06|2022-06-04|"""3559 READING RD - GJ1688236046 """|45229.0|39.1466106972506|-84.4903228374827|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM
11|SR21103190|NEW|"""Damage Claim - TROD"""|"""DMGTROD"""|"""AT THE INTERSECTION OF MONTGOMERY RD AND CLARION AVE- CLOSEST ADDRESS THE CITIZEN PROVIDED WAS 1808 CLARION AVE - CITIZENS TIRE BALL JOINT SNAPPED- TIRE ROLLED UNDERNEATH THE CAR """|Public Services|2021-12-06|2021-12-06|2022-01-05|"""1808 CLARION AV - GJ1874335890 """|45207.0|39.1447388089871|-84.4688656818622|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM
12|SR21103310|NEW|"""Building, residential"""|"""BLD-RES"""|"""Electrial problem,circuits blowing out. Appiances constanly failing."""|Cinc Building Dept|2021-12-06|2021-12-06|2022-12-06|"""5622 GARDENHILL LN - GJ1487840980 """|45232.0|39.191527381278604|-84.5119339049762|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM
13|SR21103231|NEW|"""Building, fire req insp-res"""|"""BLDRRFIF"""|"""Fire in ground floor rear apartment"""|Cinc Building Dept|2021-12-06|2021-12-06|2022-06-04|"""2870 MONTANA AV - GJ0802636093 """|45211.0|39.149188421946|-84.5927058087457|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM
14|SR21103032|NEW|"""Litter, private property"""|"""LITR-PRV"""|"""Transfer: 12/06/2021 12:44 PM/SGOODWINREFER TO LITTER - Request entered through the Web. Refer to Intake Questions for further description."""|Public Services|2021-12-06|2021-12-06|2022-01-20|"""2630 KIPLING AV, CINC - GJ0910741898"""|45239.0|39.201200978848|-84.5784068428614|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM|12/06/2021 12:00:00 AM
